species_ind
wl_wl
abyssinicus_fema1
abyssinicus_fema2
abyssinicus_fema3
abyssinicus_male1
abyssinicus_male2
abyssinicus_male3
albicollis_fema1
albicollis_fema2
albicollis_fema3
albicollis_male1
albicollis_male2
albicollis_male3
albocinctus_fema1
albocinctus_fema2
albocinctus_fema3
albocinctus_male1
albocinctus_male2
albocinctus_male3
amaurochalinus_fema1
amaurochalinus_fema2
amaurochalinus_fema3
amaurochalinus_male1
amaurochalinus_male2
amaurochalinus_male3
anthracinus_fema1
anthracinus_fema2
anthracinus_fema3
anthracinus_male1
anthracinus_male2
anthracinus_male3
assimilis_fema1
assimilis_fema2
assimilis_fema3
assimilis_male1
assimilis_male2
assimilis_male3
atrogularis_fema1
atrogularis_fema2
atrogularis_fema3
atrogularis_male1
atrogularis_male2
atrogularis_male3
aurantius_fema1
aurantius_fema2
aurantius_fema3
aurantius_male1
aurantius_male2
aurantius_male3
boulboul_fema1
boulboul_fema2
boulboul_fema3
boulboul_male1
boulboul_male2
boulboul_male3
cardis_fema1
cardis_fema2
cardis_fema3
cardis_male1
cardis_male2
cardis_male3
celaenops_fema1
celaenops_fema2
celaenops_fema3
celaenops_male1
celaenops_male2
celaenops_male3
chiguanco_fema1
chiguanco_fema2
chiguanco_fema3
chiguanco_male1
chiguanco_male2
chiguanco_male3
chrysolaus_fema1
chrysolaus_fema2
chrysolaus_fema3
chrysolaus_male1
chrysolaus_male2
chrysolaus_male3
confinis_fema1
confinis_fema2
confinis_fema3
confinis_male1
confinis_male2
confinis_male3
daguae_fema1
daguae_fema2
daguae_male1
daguae_male2
daguae_male3
dissimilis_fema1
dissimilis_fema2
dissimilis_fema3
dissimilis_male1
dissimilis_male2
dissimilis_male3
falcklandii_fema1
falcklandii_fema2
falcklandii_fema3
falcklandii_male1
falcklandii_male2
falcklandii_male3
feae_fema1
feae_male1
feae_male2
flavipes_fema1
flavipes_fema2
flavipes_fema3
flavipes_male1
flavipes_male2
flavipes_male3
fulviventris_fema1
fulviventris_fema2
fulviventris_fema3
fulviventris_male1
fulviventris_male2
fulviventris_male3
fumigatus_fema1
fumigatus_fema2
fumigatus_fema3
fumigatus_male1
fumigatus_male2
fumigatus_male3
fuscater_fema1
fuscater_fema2
fuscater_fema3
fuscater_male1
fuscater_male2
fuscater_male3
gouldi_fema1
gouldi_fema2
gouldi_fema3
gouldi_male1
gouldi_male2
gouldi_male3
grayi_fema1
grayi_fema2
grayi_fema3
grayi_male1
grayi_male2
grayi_male3
hauxwelli_fema1
hauxwelli_fema2
hauxwelli_fema3
hauxwelli_male1
hauxwelli_male2
hauxwelli_male3
helleri_fema1
helleri_fema2
helleri_fema3
helleri_male1
helleri_male2
helleri_male3
hortulorum_fema1
hortulorum_fema2
hortulorum_fema3
hortulorum_male1
hortulorum_male2
hortulorum_male3
ignobilis_fema1
ignobilis_fema2
ignobilis_fema3
ignobilis_male1
ignobilis_male2
ignobilis_male3
iliacus_fema1
iliacus_fema2
iliacus_fema3
iliacus_male1
iliacus_male2
iliacus_male3
infuscatus_fema1
infuscatus_fema2
infuscatus_male1
infuscatus_male2
infuscatus_male3
jamaicensis_fema1
jamaicensis_fema2
jamaicensis_fema3
jamaicensis_male1
jamaicensis_male2
jamaicensis_male3
kessleri_fema1
kessleri_fema2
kessleri_fema3
kessleri_male1
kessleri_male2
kessleri_male3
lawrencii_fema1
lawrencii_fema2
lawrencii_male1
lawrencii_male2
layardi_fema1
layardi_fema2
layardi_fema3
layardi_male1
layardi_male2
layardi_male3
leucomelas_fema1
leucomelas_fema2
leucomelas_fema3
leucomelas_male1
leucomelas_male2
leucomelas_male3
leucops_fema1
leucops_fema2
leucops_fema3
leucops_male1
leucops_male2
leucops_male3
lherminieri_fema1
lherminieri_fema2
lherminieri_fema3
lherminieri_male1
lherminieri_male2
lherminieri_male3
libonyanus_fema1
libonyanus_fema2
libonyanus_fema3
libonyanus_male1
libonyanus_male2
libonyanus_male3
litsitsirupa_fema1
